descripcion_limpia,categoria
Té,Alimentacion
Natacion,Ocio
Examen laboratorio,Salud
Servicio streaming,Servicios
Pago crédito hipotecario,Vivienda
Reloj,Ocio
Tienda de abarrotes,Alimentacion
Medicinas,Salud
Servicio streaming,Servicios
Reparacion tuberia,Vivienda
Farmacia Similares,Salud
Pago universidad,Educación
Colonia,Ocio
Reparacion de plomeria,Vivienda
taxi sitio,Transporte
Fibra optica,Servicios
Examen medico,Salud
Cablebús,Transporte
Te y galletas,Alimentacion
Servicio Didi,Transporte
Examen de laboratorio,Salud
Pan dulce,Alimentacion
Pago telefonía,Servicios
Tanque de gasolina,Transporte
Compra de comida,Alimentacion
Antibiotico,Salud
transporte publico,Transporte
DIDI,Transporte
didi,Transporte
Factura agua,Servicios
Reparacion casa,Vivienda
Abono hipoteca ,Vivienda
Suscripcion Disney,Ocio
Renta mensual,Vivienda
Servicio cable,Servicios
recibo de luz,Servicios
Boliche,Ocio
Colonia,Ocio
Supermercado,Alimentacion
Medicamento,Salud
Panadería,Alimentacion
combustible,Transporte
Gasolina magna,Transporte
Autobus,Transporte
Parking,Transporte
Desayuno,Alimentacion
Factura agua,Servicios
Compra de comida,Alimentacion
Baile,Ocio
Gas natural,Servicios
Pintura,Vivienda
Compra farmacia,Salud
Boleto teatro,Ocio
farmacia similares,Salud
Análisis Laboratorio,Salud
Combustible,Transporte
stream,Ocio
Clases privadas,Educación
transporte publico,Transporte
Ciclismo,Ocio
Mensualidad gimnasio,Servicios
Didi Food,Alimentacion
Carga gasolina,Transporte
servicio streaming,Servicios
dentista,Salud
Transporte público,Transporte
Taxi de sitio,Transporte
Reparación casa,Vivienda
Laboratorio medico,Salud
Mantenimiento edificio,Vivienda
Útiles escuela,Educación
Lentes para sol,Ocio
Pago limpieza,Servicios
Te,Alimentacion
Clases idiomas,Educación
Compra medicamentos,Salud
Electrodoméstico,Vivienda
senderismo,Ocio
galleta,Alimentacion
Medicamento,Salud
Comida rapida,Alimentacion
Antibiotico,Salud
Utiles escuela,Educación
Pago gimnasio,Servicios
Recarga Metro,Transporte
Obra de teatro,Ocio
Cómic,Ocio
PEMEX,Transporte
Colegio,Educación
Cafe,Alimentacion
Decoración casa,Vivienda
Pago escuela,Educación
Reparacion casa,Vivienda
Pago luz,Servicios
Accesorios,Ocio
DOCTOR,Salud
Curso inglés,Educación
Gorra,Ocio
Pollo,Alimentacion
Psicologo,Salud
Set de ducha,Ocio
Adornos hogar,Vivienda
Pastilla,Salud
FERRETERIA,Vivienda
Comida restaurante,Alimentacion
Surf,Ocio
Estudio medico,Salud
Pago mensualidad escolar,Educación
combustible,Transporte
Gasolina magna,Transporte
Utiles escuela,Educación
Estacionamiento vehiculo,Transporte
Antibiótico,Salud
Cartera,Ocio
Gimnasio,Servicios
sacmex,Servicios
Tacos restaurante,Alimentacion
Cena,Alimentacion
Medicamento,Salud
Seminario académico,Educación
Pago celular mensual,Servicios
senderismo,Ocio
Electrodomésticos,Vivienda
fruta,Alimentacion
uber,Transporte
Gorra,Ocio
TAXI,Transporte
Decoracion casa,Vivienda
Pago luz,Servicios
Viaje transporte,Transporte
Seminario,Educación
Autobus,Transporte
Material educativo,Educación
Estacionamiento vehiculo,Transporte
Decoracion casa,Vivienda
Universidad,Educación
Lentes de sol,Ocio
Libro escolar,Educación
Consulta dental,Salud
Camión,Transporte
Cómic,Ocio
Consulta medica,Salud
Curso inglés,Educación
GYM,Servicios
laboratorio medico,Salud
stream,Ocio
Laboratorio,Salud
Curso ingles,Educación
Despensa mensual,Alimentacion
Inscripcion escolar,Educación
Netflix,Ocio
Juego,Ocio
Festival,Ocio
Pollo,Alimentacion
Pago caseta,Transporte
Reparación electrodoméstico,Vivienda
Farmacias Guadalajara,Salud
CFE pago,Servicios
Cuota autopista,Transporte
MEDICINA,Salud
Compra farmacia,Salud
Pago combustible,Transporte
Taxi sitio,Transporte
Estudio médico,Salud
Certificacion,Educación
Material escolar,Educación
Te y galletas,Alimentacion
Curso virtual,Educación
Pago colegiatura,Educación
tren suburbano,Transporte
Entrada teatro,Ocio
Material de estudio,Educación
autobus,Transporte
Dentista,Salud
Delivery de comida,Alimentacion
Hospital,Salud
Congreso academico,Educación
laboratorio,Salud
Comida rapida restaurante,Alimentacion
Seguro de gastos médicos,Salud
Pago seguro vivienda,Vivienda
Medicamento,Salud
Consulta medica,Salud
Credito hipotecario,Vivienda
Servicio agua,Servicios
Tenis,Ocio
servicio streaming,Servicios
Pago de servicio,Servicios
Mueble para sala,Vivienda
Taller idiomas,Educación
Gasolina Magna,Transporte
Autopista,Transporte
Frances,Educación
pastilla,Salud
Conferencia académica,Educación
Examen laboratorio,Salud
Mensualidad universidad,Educación
Conferencia academica,Educación
Receta médica,Salud
Decoración hogar,Vivienda
Consulta nutricional,Salud
Recarga Metro,Transporte
Karaoke,Ocio
ferreteria,Vivienda
cafe,Alimentacion
Pago inscripción,Educación
Museo,Ocio
Servicio de internet,Servicios
Francés,Educación
Servicio cable,Servicios
Consulta doctor,Salud
Estacionamiento vehiculo,Transporte
Urgencias medicas,Salud
Servicio de internet,Servicios
Suscripcion Netflix,Ocio
certificacion,Educación
Television por cable,Servicios
Servicio mantenimiento,Servicios
Servicio de cable,Servicios
Pemex,Transporte
Pago de luz,Servicios
Metro,Transporte
Boleto tren,Transporte
Mensualidad escuela,Educación
Mantenimiento departamento,Vivienda
Clases de ingles,Educación
Pago escuela,Educación
servicio streaming,Servicios
Obra de teatro,Ocio
Recibo de servicio,Servicios
Clases privadas,Educación
Clases idiomas,Educación
Uber Eats,Alimentacion
combustible,Transporte
Delivery de comida,Alimentacion
DIDI,Transporte
Taxi de sitio,Transporte
Clases de idiomas,Educación
curso en linea,Educación
Inscripción curso,Educación
Mensualidad universidad,Educación
doctor,Salud
Pasaje urbano,Transporte
Perfume,Ocio
Uber,Transporte
Compra utiles escolares,Educación
Clases de inglés,Educación
Credito hipotecario,Vivienda
Clases de matematicas,Educación
Analgesico,Salud
Estacionamiento vehiculo,Transporte
Servicio de internet,Servicios
Transporte urbano,Transporte
Gasolina Premium,Transporte
Plan internet,Servicios
Odontologo,Salud
Curso inglés,Educación
Inscripcion escolar,Educación
Fragancia,Ocio
Paramount,Ocio
Compra en supermercado,Alimentacion
dentista,Salud
laboratorio medico,Salud
Electricidad,Servicios
Servicio gas,Servicios
vegetal,Alimentacion
Internet,Servicios
vegetales,Alimentacion
Despensa mensual,Alimentacion
Compra medicamentos,Salud
Servicio de cable,Servicios
Compra libros escolares,Educación
Boleto de autobus,Transporte
Gas Natural,Servicios
Television por cable,Servicios
Transporte urbano,Transporte
Mantenimiento departamento,Vivienda
Uber,Transporte
Hospitalizacion,Salud
Mochila,Ocio
Recibo CFE,Servicios
Ingles,Educación
Nutriologo,Salud
Útiles escuela,Educación
gasolina,Transporte
Pago de television por cable,Servicios
Comida rapida,Alimentacion
Suscripcion Netflix,Ocio
Pastillas,Salud
Senderismo,Ocio
Estacionamiento vehículo,Transporte
suscripcion netflix,Ocio
COLEGIATURA,Educación
Seguro de gastos médicos,Salud
Matcha latte,Alimentacion
farmacia,Salud
Comision Federal de Electricidad,Servicios
Clases de inglés,Educación
Paramount,Ocio
