id_usuario,edad,sexo,escolaridad,servicio_salud,tipo_empleo,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,descripcion_transaccion,valor_transaccion,categoria_gasto,perfil_usuario
1,21,M,Media Superior,ISSEMYN,Formal,5671.71,32,Media,Tortilleria,610.14,Alimentacion,En observacion
1,21,M,Media Superior,ISSEMYN,Formal,5671.71,32,Media,Mantenimiento hogar,1417.93,Vivienda,En observacion
1,21,M,Media Superior,ISSEMYN,Formal,5671.71,32,Media,Recarga Telcel,361.93,Servicios,En observacion
1,21,M,Media Superior,ISSEMYN,Formal,5671.71,32,Media,Ropa bazar,907.47,Otros,En observacion
2,54,H,Superior,Privado,Formal,19335.09,23,Alta,Tortilleria,1547.06,Alimentacion,Finanzas sanas
2,54,H,Superior,Privado,Formal,19335.09,23,Alta,Abono Hipoteca,4833.77,Vivienda,Finanzas sanas
2,54,H,Superior,Privado,Formal,19335.09,23,Alta,Pago de Agua,339.4,Servicios,Finanzas sanas
2,54,H,Superior,Privado,Formal,19335.09,23,Alta,Pago Elektra,2223.54,Otros,Finanzas sanas
3,24,H,Basica,ISSEMYN,Formal,6306.68,29,Media,Tortilleria,541.83,Alimentacion,Finanzas sanas
3,24,H,Basica,ISSEMYN,Formal,6306.68,29,Media,Pago de Renta,1576.67,Vivienda,Finanzas sanas
3,24,H,Basica,ISSEMYN,Formal,6306.68,29,Media,Recarga Telcel,357.1,Servicios,Finanzas sanas
3,24,H,Basica,ISSEMYN,Formal,6306.68,29,Media,Gasolina Magna,391.57,Transporte,Finanzas sanas
4,38,M,Media Superior,IMSS,Autoempleo,9851.52,37,Baja,Abarrotes local,847.93,Alimentacion,En riesgo
4,38,M,Media Superior,IMSS,Autoempleo,9851.52,37,Baja,Pago de Renta,2462.88,Vivienda,En riesgo
4,38,M,Media Superior,IMSS,Autoempleo,9851.52,37,Baja,Pago de Agua,162.07,Servicios,En riesgo
4,38,M,Media Superior,IMSS,Autoempleo,9851.52,37,Baja,Analisis Laboratorio,266.95,Salud,En riesgo
5,38,H,Media Superior,Ninguno,Autoempleo,9029.05,51,Media,Abarrotes local,984.57,Alimentacion,En riesgo
5,38,H,Media Superior,Ninguno,Autoempleo,9029.05,51,Media,Pago de Renta,2257.26,Vivienda,En riesgo
5,38,H,Media Superior,Ninguno,Autoempleo,9029.05,51,Media,Carga Gas LP,361.95,Servicios,En riesgo
5,38,H,Media Superior,Ninguno,Autoempleo,9029.05,51,Media,Analisis Laboratorio,248.67,Salud,En riesgo
6,74,H,Basica,IMSS,Autoempleo,8222.1,34,Media,Despensa Walmart,933.21,Alimentacion,En observacion
6,74,H,Basica,IMSS,Autoempleo,8222.1,34,Media,Pago de Renta,2055.53,Vivienda,En observacion
6,74,H,Basica,IMSS,Autoempleo,8222.1,34,Media,Recarga Telcel,256.6,Servicios,En observacion
6,74,H,Basica,IMSS,Autoempleo,8222.1,34,Media,Gasolina Magna,129.75,Transporte,En observacion
7,62,M,Media Superior,Ninguno,Informal,4471.6,44,Media,Abarrotes local,359.66,Alimentacion,En riesgo
7,62,M,Media Superior,Ninguno,Informal,4471.6,44,Media,Abono Hipoteca,1117.9,Vivienda,En riesgo
7,62,M,Media Superior,Ninguno,Informal,4471.6,44,Media,Pago de Agua,223.99,Servicios,En riesgo
7,62,M,Media Superior,Ninguno,Informal,4471.6,44,Media,Gasolina Magna,158.42,Transporte,En riesgo
8,53,M,Superior,ISSSTE,Autoempleo,5758.27,21,Media,Tianguis semanal,464.48,Alimentacion,Finanzas sanas
8,53,M,Superior,ISSSTE,Autoempleo,5758.27,21,Media,Abono Hipoteca,1439.57,Vivienda,Finanzas sanas
8,53,M,Superior,ISSSTE,Autoempleo,5758.27,21,Media,Pago de Agua,437.59,Servicios,Finanzas sanas
8,53,M,Superior,ISSSTE,Autoempleo,5758.27,21,Media,Gasolina Magna,364.32,Transporte,Finanzas sanas
9,38,M,Basica,Privado,Autoempleo,9767.32,30,Media,Tianguis semanal,1108.52,Alimentacion,En observacion
9,38,M,Basica,Privado,Autoempleo,9767.32,30,Media,Pago de Renta,2441.83,Vivienda,En observacion
9,38,M,Basica,Privado,Autoempleo,9767.32,30,Media,Recarga Telcel,146.76,Servicios,En observacion
9,38,M,Basica,Privado,Autoempleo,9767.32,30,Media,Ropa bazar,1465.1,Otros,En observacion
10,25,M,Basica,ISSSTE,Formal,7544.63,30,Media,Tortilleria,614.81,Alimentacion,En observacion
10,25,M,Basica,ISSSTE,Formal,7544.63,30,Media,Pago de Renta,1886.16,Vivienda,En observacion
10,25,M,Basica,ISSSTE,Formal,7544.63,30,Media,Recibo CFE,422.4,Servicios,En observacion
10,25,M,Basica,ISSSTE,Formal,7544.63,30,Media,Abono Coppel,1131.69,Otros,En observacion
11,66,H,Media Superior,Privado,Informal,5375.35,66,Baja,Abarrotes local,460.04,Alimentacion,En riesgo
11,66,H,Media Superior,Privado,Informal,5375.35,66,Baja,Abono Hipoteca,1343.84,Vivienda,En riesgo
11,66,H,Media Superior,Privado,Informal,5375.35,66,Baja,Pago de Agua,407.81,Servicios,En riesgo
11,66,H,Media Superior,Privado,Informal,5375.35,66,Baja,Farmacia Similares,189.7,Salud,En riesgo
